headline,url
"Syrians search for relatives in the ‘human slaughterhouse,’ the prison that is a symbol of Assad’s repression",https://english.elpais.com
The factions that overthrew Assad in Syria: Who they are and why they are a difficult fit,https://english.elpais.com/international/2024-12-10/the-factions-that-overthrew-assad-in-syria-who-they-are-and-why-they-are-a-difficult-fit.html
Nobel laureates urge US Senate not to confirm Robert Kennedy as Secretary of Health,https://english.elpais.com
Lula da Silva undergoes surgery for an intracranial hemorrhage,https://english.elpais.com
,https://english.elpais.com
The ‘Bahia Emerald’: The story of a giant cursed gem stolen from Brazil  ,https://english.elpais.com/international/2024-12-09/the-bahia-emerald-the-story-of-a-giant-cursed-gem-stolen-from-brazil.html
Five signs of market excesses: What dangers lurk beneath the record highs? ,https://english.elpais.com/economy-and-business/2024-12-09/five-signs-of-market-excesses-what-dangers-lurk-beneath-the-record-highs.html
"Terror, massacre and voodoo in the latest episode of gang violence in Haiti",https://english.elpais.com/international/2024-12-10/terror-massacre-and-voodoo-in-the-latest-episode-of-gang-violence-in-haiti.html
Colombian mercenaries recruited to fight alongside paramilitaries in Sudan’s civil war,https://english.elpais.com/international/2024-12-09/colombian-mercenaries-recruited-to-fight-alongside-paramilitaries-in-sudans-civil-war.html
,https://english.elpais.com
,https://english.elpais.com
How schools and colleges are responding to Trump’s second term,https://english.elpais.com
,https://english.elpais.com
France’s leftist leader Mélenchon: ‘Macron cannot endure 30 months of appointing governments every three months’,https://english.elpais.com/international/2024-12-09/frances-leftist-leader-melenchon-macron-cannot-endure-30-months-of-appointing-governments-every-three-months.html
,https://english.elpais.com
,https://english.elpais.com
"Marco Grossi, the man behind the success of iLovePDF",https://english.elpais.com/technology/2024-12-08/marco-grossi-the-man-behind-the-success-of-ilovepdf.html
The professionals working for the super-rich   ,https://english.elpais.com/lifestyle/2024-12-08/the-professionals-working-for-the-super-rich.html
"‘Instagram therapy’ offers self-diagnoses and justifications, but it does not solve anything",https://english.elpais.com/lifestyle/2024-12-08/instagram-therapy-offers-self-diagnoses-vocabulary-and-justifications-but-it-does-not-solve-anything.html
,https://english.elpais.com
A gang of orcas uses an Ingenious techniques to hunt whale sharks in Mexico   ,https://english.elpais.com/science-tech/2024-12-07/a-gang-of-orcas-uses-an-ingenious-techniques-to-hunt-whale-sharks-in-mexico.html
How do we know dark matter exists if it can’t be detected?,https://english.elpais.com/science-tech/2024-12-06/how-do-we-know-dark-matter-exists-if-it-cant-be-detected.html
